Name,FeatureId,Kind,Part,Vertex,X,Y,Z
"osm_way_27482306_0_0","osm:way/27482306","building",0,0,19035.10279830612,1024.055188049297,-0.28442143994507063
"osm_way_27482306_0_1","osm:way/27482306","building",0,1,17724.635817823004,1135.1885099358665,-0.24690577667243474
"osm_way_27482306_0_2","osm:way/27482306","building",0,2,19031.47433441414,16405.54918782907,-0.49489859249973733
"osm_way_27482306_0_3","osm:way/27482306","building",0,3,20341.970580979094,16294.413369815478,-0.5324300135697513
"osm_way_27482306_0_4","osm:way/27482306","building",0,4,19035.10279830612,1024.055188049297,-0.28442143994507063
"osm_way_27482307_0_0","osm:way/27482307","building",0,0,10622.879439007767,18838.77488174471,-0.36709429831347506
"osm_way_27482307_0_1","osm:way/27482307","building",0,1,10733.32823736768,20240.827457593867,-0.41197893812352504
"osm_way_27482307_0_2","osm:way/27482307","building",0,2,20471.167938266353,19481.80562805327,-0.6261291636604938
"osm_way_27482307_0_3","osm:way/27482307","building",0,3,20361.51114423215,18080.86557359399,-0.581289562417453
"osm_way_27482307_0_4","osm:way/27482307","building",0,4,10622.879439007767,18838.77488174471,-0.36709429831347506
"osm_way_27482308_0_0","osm:way/27482308","building",0,0,10468.600499000055,18421.049521503744,-0.3523217144831392
"osm_way_27482308_0_1","osm:way/27482308","building",0,1,12077.90254435167,18268.81879827276,-0.37633382655570813
"osm_way_27482308_0_2","osm:way/27482308","building",0,2,11478.56987706993,11981.803908891774,-0.2158940085315919
"osm_way_27482308_0_3","osm:way/27482308","building",0,3,9869.28260187578,12134.03322629646,-0.19188822536051475
"osm_way_27482308_0_4","osm:way/27482308","building",0,4,10468.600499000055,18421.049521503744,-0.3523217144831392
"osm_way_27482311_0_0","osm:way/27482311","building",0,0,9710.934461901903,10917.514378691467,-0.16743433383723527
"osm_way_27482311_0_1","osm:way/27482311","building",0,1,11099.368890683476,10804.17331817171,-0.1881153964959026
"osm_way_27482311_0_2","osm:way/27482311","building",0,2,11794.397862592588,10746.39073071035,-0.1995914442822766
"osm_way_27482311_0_3","osm:way/27482311","building",0,3,11688.822215777509,9466.545639143817,-0.17733069324066264
"osm_way_27482311_0_4","osm:way/27482311","building",0,4,11041.699486017495,9519.88342924437,-0.16661310647094751
"osm_way_27482311_0_5","osm:way/27482311","building",0,5,10776.953176476078,6319.159300688992,-0.12227043437711416
"osm_way_27482311_0_6","osm:way/27482311","building",0,6,11795.131437766839,6235.819000133867,-0.13943669907021672
"osm_way_27482311_0_7","osm:way/27482311","building",0,7,11687.932392318733,4943.753083862134,-0.12612009197106033
